betadraw,trial,state,prhv_rsft,prstate,hvalue,lvalue,numberOfdraws,sampleNR,count_xh,count_xl,xh,yh,xl,yl,pxh,pyh,pxl,pyl,b,count_yh,count_yl,pmax,nr,id,bxh,bxl,byh,byl,start
4,1,0,0.700393757440534,1,0.303766898581548,0.133932178624819,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.36596745569083,1,0.634032544309171,0,0
4,2,1,0.661427111371653,0.444072436048282,0.133932178624819,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.36596745569083,1,0.634032544309171,0,0
4,2,2,0.661427111371653,0.700393757440534,0.133932178624819,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.36596745569083,1,0.634032544309171,0,0
4,2,8,0.761364763499354,0.256321321392252,0.59800273275684,0.36596745569083,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.36596745569083,1,0.634032544309171,0,0
4,3,2,0.5,0.186229020786917,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.36596745569083,1,0.634032544309171,0,0
4,3,3,0.5,0.587443097230376,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.36596745569083,1,0.634032544309171,0,0
4,3,4,0.5,0.463259419806631,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.36596745569083,1,0.634032544309171,0,0
4,3,9,0.861742281349092,0.231226529082315,0.36596745569083,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.36596745569083,1,0.634032544309171,0,0
4,3,10,0.861742281349092,0.364691893433097,0.36596745569083,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.36596745569083,1,0.634032544309171,0,0
4,3,16,0.5,0.0714200209876097,1,1,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.36596745569083,1,0.634032544309171,0,0
5,1,0,0.731101545865114,1,0.951575543086923,0.751531833222198,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.86690935698157,1,0.133090643018431,0,0
5,2,1,0.977193935949678,0.0973027748509566,0.751531833222198,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.86690935698157,1,0.133090643018431,0,0
5,2,2,0.977193935949678,0.731101545865114,0.751531833222198,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.86690935698157,1,0.133090643018431,0,0
5,2,8,0.640350933467823,0.633798771014157,0.982286880740941,0.86690935698157,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.86690935698157,1,0.133090643018431,0,0
5,3,2,0.5,0.0126547483161103,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.86690935698157,1,0.133090643018431,0,0
5,3,3,0.5,0.190167363070863,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.86690935698157,1,0.133090643018431,0,0
5,3,4,0.5,0.714427997182825,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.86690935698157,1,0.133090643018431,0,0
5,3,9,0.987061772022907,0.136444254426214,0.86690935698157,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.86690935698157,1,0.133090643018431,0,0
